date,highestPosition,weeksChart,award,title,labelCatNo,weeksNo1,usNo1
4/6/1963,1,70,,PLEASE PLEASE ME,Parlophone PMC 1202,30,
11/30/1963,1,51,,WITH THE BEATLES,Parlophone PMC 1206,21,
7/18/1964,1,38,,A HARD DAY'S NIGHT,Parlophone PMC 1230,21,*
12/12/1964,1,46,,BEATLES FOR SALE,Parlophone PMC 1240,11,
8/14/1965,1,37,,HELP!,Parlophone PMC 1255,9,*
12/11/1965,1,42,,RUBBER SOUL,,8,*
8/13/1966,1,34,,REVOLVER,Parlophone PMC 7009,7,*
12/10/1966,7,34,,A COLLECTION OF BEATLES OLDIES,Parlophone PMC 1267,,
6/3/1967,1,149,,SGT PEPPER'S LONELY HEARTS CLUB BAND,Parlophone PCS 7027,27,*
1/13/1968,31,2,,MAGICAL MYSTERY TOUR (IMPORT),Capitol SMAL 2835,,*
12/7/1968,1,22,,THE BEATLES (WHITE ALBUM),Apple PCS 7067/8,8,*
2/1/1969,3,10,,YELLOW SUBMARINE,Apple PCS 7070,,
10/4/1969,1,81,,ABBEY ROAD,Apple PCS 7088,17,*
5/23/1970,1,59,,LET IT BE,Apple PXS 1,3,*
1/16/1971,30,1,,A HARD DAY'S NIGHT,Parlophone PCS 3058,,
7/24/1971,33,2,,HELP!,Parlophone PCS 3071,,
5/5/1973,3,114,P,THE BEATLES 1962-1966,Apple PCSP 718,,
5/5/1973,2,148,P,THE BEATLES 1967-1970,Apple PCSP 717,,*
6/26/1976,11,15,G,ROCK 'N' ROLL MUSIC,Parlophone PCSP 719,,
8/21/1976,45,1,,THE BEATLES TAPES,Polydor 2683 068,,
5/21/1977,1,17,G,THE BEATLES AT THE HOLLYWOOD BOWL,Parlophone EMTV 4,1,
12/17/1977,7,17,G,LOVE SONGS,Parlophone PCSP 721,,
11/3/1979,71,1,S,RARITIES,Parlophone PCM 1001,,
11/15/1980,17,16,G,BEATLES BALLADS,Parlophone PCS 7214,,
10/30/1982,10,30,P,20 GREATEST HITS,Parlophone PCTC 260,,
3/7/1987,30,4,,A HARD DAY'S NIGHT,Parlophone CDP 7464372,,
3/7/1987,32,4,,PLEASE PLEASE ME,Parlophone CDP 7464352,,
3/7/1987,40,3,,WITH THE BEATLES,Parlophone CDP 7464362,,
3/7/1987,45,2,,BEATLES FOR SALE,Parlophone CDP 7464382,,
5/9/1987,46,12,,REVOLVER,Parlophone CDP 7464412,,
5/9/1987,60,5,,RUBBER SOUL,Parlophone CDP 7464402,,
5/9/1987,61,2,,HELP!,Parlophone CDP 7464392,,
6/6/1987,3,53,,SGT PEPPER'S LONELY HEARTS CLUB BAND,Parlophone CDP 7464422,,
9/5/1987,18,2,,THE BEATLES (WHITE ALBUM),Apple CDS 7464439,,
9/5/1987,60,1,,YELLOW SUBMARINE,Parlophone CDP 7464452,,
10/3/1987,52,1,,MAGICAL MYSTERY TOUR,Parlophone PCTC 255,,
10/31/1987,30,11,,ABBEY ROAD,Apple CDP 7464462,,
10/31/1987,50,1,,LET IT BE,Parlophone CDP 7464472,,
3/19/1988,46,1,,PAST MASTERS VOLUME 1,Parlophone CDBPM 1,,
3/19/1988,49,1,,PAST MASTERS VOLUME 2,Parlophone CDBPM 2,,
10/2/1993,3,24,,THE BEATLES 1962-1966,Parlophone BEACD 2511,,
10/2/1993,4,24,,THE BEATLES 1967-1970,Parlophone BEACD 2512,,
12/10/1994,1,20,P2,LIVE AT THE BBC,Apple CDS 8317962,1,
12/2/1995,2,10,P2,ANTHOLOGY 1,Apple CDPCSP 727,,*
3/30/1996,1,12,P,ANTHOLOGY 2,Apple CDPCSP 728,1,*
11/9/1996,4,11,G,ANTHOLOGY 3,Apple CDPCSP 729,,*
9/25/1999,8,5,G,YELLOW SUBMARINE SONGTRACK (OST),Parlophone 5214812,,
11/25/2000,1,46,P8,1,Apple 5299702,9,*
11/29/2003,7,7,G,LET IT BE - NAKED,Apple 5957132,,
12/2/2006,3,15,P2,LOVE,Apple 3798102,,
11/3/2007,71,2,,THE BEATLES 1962-1966,Apple CDPCSP 717,,
5/9/2009,43,6,,1,Apple 5293252,,
