date,highestPosition,weeksChart,title,artists,weeksNo1,usNo1
10/11/1962,17,18,LOVE ME DO,BEATLES,,*
1/17/1963,2,18,PLEASE PLEASE ME,BEATLES,,
4/18/1963,1,21,FROM ME TO YOU,BEATLES,7,
6/6/1963,48,1,MY BONNIE,TONY SHERIDAN & THE BEATLES,,
8/29/1963,1,33,SHE LOVES YOU,BEATLES,6,*
12/5/1963,1,22,I WANT TO HOLD YOUR HAND,BEATLES,5,*
3/26/1964,1,15,CAN'T BUY ME LOVE,BEATLES,3,*
6/11/1964,29,6,AIN'T SHE SWEET,BEATLES,,
7/16/1964,1,13,A HARD DAY'S NIGHT,BEATLES,3,*
12/3/1964,1,13,I FEEL FINE,BEATLES,5,*
4/15/1965,1,12,TICKET TO RIDE,BEATLES,3,*
7/29/1965,1,14,HELP!,BEATLES,3,*
12/9/1965,1,12,DAY TRIPPER/WE CAN WORK IT OUT,BEATLES,5,*
6/16/1966,1,11,PAPERBACK WRITER,BEATLES,2,*
8/11/1966,1,13,YELLOW SUBMARINE/ELEANOR RIGBY,BEATLES,4,
2/23/1967,2,11,PENNY LANE/STRAWBERRY FIELDS FOREVER,BEATLES,,*
7/12/1967,1,13,ALL YOU NEED IS LOVE,BEATLES,3,*
11/29/1967,1,12,HELLO GOODBYE,BEATLES,£7,*
12/13/1967,2,12,MAGICAL MYSTERY TOUR (DOUBLE EP),BEATLES,,
3/20/1968,1,8,LADY MADONNA,BEATLES,2,
9/4/1968,1,16,HEY JUDE,BEATLES,2,*
4/23/1969,1,17,GET BACK,BEATLES WITH BILLY PRESTON,6,*
6/4/1969,1,14,THE BALLAD OF JOHN AND YOKO,BEATLES,3,
11/8/1969,4,12,SOMETHING/COME TOGETHER,BEATLES,,
3/14/1970,2,10,LET IT BE,BEATLES,,*
3/13/1976,8,7,YESTERDAY,BEATLES,,*
3/27/1976,12,7,HEY JUDE,BEATLES,,
3/27/1976,23,5,PAPERBACK WRITER,BEATLES,,
4/3/1976,32,3,STRAWBERRY FIELDS FOREVER,BEATLES,,
4/3/1976,28,5,GET BACK,BEATLES WITH BILLY PRESTON,,
4/10/1976,37,3,HELP!,BEATLES,,
7/10/1976,19,6,BACK IN THE U.S.S.R.,BEATLES,,
10/7/1978,63,3,SGT PEPPER'S LONELY HEARTS CLUB BAND - WITH A LITTLE HELP FROM MY FRIENDS,BEATLES,,
6/5/1982,10,9,BEATLES MOVIE MEDLEY,BEATLES,,
10/16/1982,4,7,LOVE ME DO,BEATLES,,
1/22/1983,29,4,PLEASE PLEASE ME,BEATLES,,
4/23/1983,40,4,FROM ME TO YOU,BEATLES,,
9/3/1983,45,3,SHE LOVES YOU,BEATLES,,
11/26/1983,62,2,I WANT TO HOLD YOUR HAND,BEATLES,,
3/31/1984,53,2,CAN'T BUY ME LOVE,BEATLES,,
7/21/1984,52,2,A HARD DAY'S NIGHT,BEATLES,,
12/8/1984,65,1,I FEEL FINE,BEATLES,,
4/20/1985,70,2,TICKET TO RIDE,BEATLES,,
8/30/1986,63,1,YELLOW SUBMARINE/ELEANOR RIGBY,BEATLES,,
2/28/1987,65,2,PENNY LANE/STRAWBERRY FIELDS FOREVER,BEATLES,,
7/18/1987,47,3,ALL YOU NEED IS LOVE,BEATLES,,
12/5/1987,63,1,HELLO GOODBYE,BEATLES,,
3/26/1988,67,1,LADY MADONNA,BEATLES,,
9/10/1988,52,2,HEY JUDE,BEATLES,,
4/22/1989,74,1,GET BACK,BEATLES WITH BILLY PRESTON,,
10/17/1992,53,1,LOVE ME DO,BEATLES,,
4/1/1995,7,7,BABY IT'S YOU ,BEATLES,,
12/16/1995,2,8,FREE AS A BIRD,BEATLES,,
3/16/1996,4,7,REAL LOVE ,BEATLES,,
