title,country,released,noTracks,McCartney,Lennon,Harrison,Starr,LennonMcCartney,LennonHarrison,LennonMcCartneyHarrison,LennonMcCartneyHarrisonStarr,instrumental
Please Please Me,UK,03/22/1963,14,3,4,2,1,4,0,0,0,0
With The Beatles,UK,11/22/1963,14,4,5,2,1,1,1,0,0,0
A Hard Day's Night,both,07/10/1974,13,3,6,1,0,3,0,0,0,0
Beatles For Sale,UK,12/04/1964,14,3,5,1,1,4,0,0,0,0
Help!,both,08/06/1965,12,2,3,1,0,1,0,0,0,5
Rubber Soul,both,12/03/1965,14,3,6,2,1,2,0,0,0,0
Revolver,both,08/05/1966,14,5,5,3,1,0,0,0,0,0
Sgt. Pepper's Lonely Hearts Club Band,both,05/26/1967,13,5,3,1,1,2,0,1,0,0
The Beatles (White Album),both,11/22/1968,29,11,10,4,2,2,0,0,0,0
Abbey Road,both,09/26/1969,17,7,4,2,1,0,0,2,1,0
Let It Be,both,05/08/1970,12,3,3,2,0,4,0,0,0,0
