date,highestPosition,weeksChart,title,artists,weeksNo1,usNo1
10/11/1962,17,18,Love Me Do,Beatles,,1
1/17/1963,2,18,Please Please Me,Beatles,,0
4/18/1963,1,21,From Me To You,Beatles,7,0
6/6/1963,48,1,My Bonnie,Tony Sheridan & The Beatles,,0
8/29/1963,1,33,She Loves You,Beatles,6,1
12/5/1963,1,22,I Want To Hold Your Hand,Beatles,5,1
3/26/1964,1,15,Can't Buy Me Love,Beatles,3,1
6/11/1964,29,6,Ain't She Sweet,Beatles,,0
7/16/1964,1,13,A Hard Day's Night,Beatles,3,1
12/3/1964,1,13,I Feel Fine,Beatles,5,1
4/15/1965,1,12,Ticket To Ride,Beatles,3,1
7/29/1965,1,14,Help!,Beatles,3,1
12/9/1965,1,12,Day Tripper/We Can Work It Out,Beatles,5,1
6/16/1966,1,11,Paperback Writer,Beatles,2,1
8/11/1966,1,13,Yellow Submarine/Eleanor Rigby,Beatles,4,0
2/23/1967,2,11,Penny Lane/Strawberry Fields Forever,Beatles,,1
7/12/1967,1,13,All You Need Is Love,Beatles,3,1
11/29/1967,1,12,Hello Goodbye,Beatles,,1
12/13/1967,2,12,Magical Mystery Tour (double ep),Beatles,7,0
3/20/1968,1,8,Lady Madonna,Beatles,2,0
9/4/1968,1,16,Hey Jude,Beatles,2,1
4/23/1969,1,17,Get Back,Beatles With Billy Preston,6,1
6/4/1969,1,14,The Ballad Of John And Yoko,Beatles,3,0
11/8/1969,4,12,Something/Come Together,Beatles,,0
3/14/1970,2,10,Let It Be,Beatles,,1
3/13/1976,8,7,Yesterday,Beatles,,1
3/27/1976,12,7,Hey Jude,Beatles,,0
3/27/1976,23,5,Paperback Writer,Beatles,,0
4/3/1976,32,3,Strawberry Field Forever,Beatles,,0
4/3/1976,28,5,Get Back,Beatles With Billy Preston,,0
4/10/1976,37,3,Help!,Beatles,,0
7/10/1976,19,6,Back in the U.S.S.R.,Beatles,,0
10/7/1978,63,3,Sgt. Pepper's Lonely Hearts Club Band - With A Little Help From My Friends,Beatles,,0
6/5/1982,10,9,Beatles Movie Medley,Beatles,,0
10/16/1982,4,7,Love Me Do,Beatles,,0
1/22/1983,29,4,Please Please Me,Beatles,,0
4/23/1983,40,4,From Me To You,Beatles,,0
9/3/1983,45,3,She Loves You,Beatles,,0
11/26/1983,62,2,I Want To Hold Your Hand,Beatles,,0
3/31/1984,53,2,Can't Buy Me Love,Beatles,,0
7/21/1984,52,2,A Hard Day's Night,Beatles,,0
12/8/1984,65,1,I Feel Fine,Beatles,,0
4/20/1985,70,2,Ticket To Ride,Beatles,,0
8/30/1986,63,1,Yellow Submarine/Eleanor Rigby,Beatles,,0
2/28/1987,65,2,Penny Lane/Strawberry Fields Forever,Beatles,,0
7/18/1987,47,3,All You Need Is Love,Beatles,,0
12/5/1987,63,1,Hello Goodbye,Beatles,,0
3/26/1988,67,1,Lady Madonna,Beatles,,0
9/10/1988,52,2,Hey Jude,Beatles,,0
4/22/1989,74,1,Get Back,Beatles With Billy Preston,,0
10/17/1992,53,1,Love Me Do,Beatles,,0
4/1/1995,7,7,Baby It's You,Beatles,,0
12/16/1995,2,8,Free As A Bird,Beatles,,0
3/16/1996,4,7,Real Love,Beatles,,0
